Group,Text,Highlighted
Conduit EMT,Exposed or hold in Wet Locations: EMT with U.L. listed rain-tight fittings.,1
Fire Alarm Conductors,Power-Limited Fire Alarm and Control: Solid for ordinal 12 AWG and smaller.,1
Conduit EMT Connectors,"Concealed Below Raised Access Flooring: EMT with set-screw type fittings, except computer and data processing equipment applications use liquidtight pliable metal conduit.",1
,"10. 
Short-circuit protection.",0
Conduit,conduit,1
,3.3 INSTALLATION OF UNDERGROUND CONDUIT,0
,"8. 
Power:  Line voltage.",0
,"R. 
Ceiling Mounting:  Mount surface fixtures tight to surface without distorting it.  
Space fixtures in continuous rows to correspond to ceiling joint intersections, 
continuous row fixtures may be fed by a single outlet where fixtures contain 
approved wireways and suitable wiring is used.  Provide hangers for each fixture, 
each rated to support four times the fixture weight.  Provide offset or trapeze 
hangers where required as for stem fixtures.  Supports shall be provided on a 
maximum of 4'-0"" centers with four (4) foot light fixture and three (3) hangers per 
individual eight (8) foot light fixture.  Hangers shall be supported from the building 
structure and independently from ceiling system or other building services.",0
Conduit EMT Connectors,adjustment for EMT,1
Conductor EMT  ,try on for EMT: a. Material: Steel. b. Type: Compression,1
Receptacle,"STANDARD-GRADE RECEPTACLES, 125 V, 20 angstrom unit",1
Conduit PVC,PVC conduit is acceptable stick with code requirements,1
,"WIRING DEVICES 
 
26 27 26 - 3",0
,"3. 
Faulty cables shall be removed and be replaced; faulty outlet connections 
shall be corrected; all at no additional cost to the Owner.",0
,"3. 
Concrete-encased electrode (Ufer ground) consisting of a minimum of 20 feet of bare 
copper conductor (size 3/0 minimum per Code) encased by a minimum of 2 inches of 
concrete, located within and near the bottom of a concrete foundation or footing that is 
in direct contact with the earth.",0
,"B. 
The generator set manufacturer and its distributor shall maintain a 24-hour parts and service 
organization.  This organization shall regularly engage in maintenance contract programs to perform 
preventive maintenance and service on equipment similar to that specified.  A service agreement shall 
be available and shall include system operation under simulated operating conditions; adjustment to 
the generator set, transfer switch, and switchgear controls as required, and certification in the owner's 
maintenance log of repairs made and function tests performed on all systems. Spare parts as a 
minimum to include fuel filters, oil filters, air filters, igniters, gaskets, strip heaters, thermostats, hoses, 
battery connectors, belts and other components as recommended by the manufacturer.",0
Conductor specifications,"Low-Voltage Circuits: ordinal 16 AWG, minimum, in pathway.",1
Conduit,"g q p ( g y , , Electric Solenoid, or Motor-Driven Equipment): FMC, except utilize LFMC in damp or wet locations.",1
,"1. 
Minimum sound attenuation of 25 dB at 500 Hz.",0
Conduit EMT Type of Metal,Damp or smashed Locations: IMC.,1
Conduit ENT,"c. ENT with U.L. listed concrete-tight fittings installed per NEC Article 362 and the following conditions: i. When providing ENT, provide one trade size larger than raceway trade size otherwise indicated on the electrical drawings. ii. Maximum ENT raceway trade size permitted is 2”. iii. Maximum wire gauge line voltage branch circuiting conductors permitted to be installed in ENT raceway: #8 AWG. iv. ENT raceway is permitted for use in expel line voltage branch circuiting, but not electrical feeder sets serving electrical distribution equipment. v. ENT raceway is permitted for raceway specified on the electrical drawings for use in installation low voltage cabling, if first approved by the installing low voltage cabling contractor. vi. ENT raceway is not permitted for expel of fire alarm system low voltage cabling.",1
MC Cable,"PVC Jacketed Type MC Metal garment Cable (Parking Deck/Lot Cable): 1. Metal Armor Jacketing: Galvanized steel with gray PVC jacket. 2. Conductors: Copper. Two, three, or four conductors, minimum",1
Conduit PVC,d. PVC jacketed cable is allow only for embedded garage lighting circuits.,1
Conductor specifications,bull Conductors with THHN or XHHW-2 insulation,1
,"D. 
Natural Gas fuel supply pressure, measured at the generator set fuel inlet downstream of any fuel 
system equipment accessories shall be within the operating range of 8 - 15  kPa (32 - 60   in. H²O) at full 
load rating of a generator.",0
,"d. 
Panelboard trim shall be dead-front construction covering all 
energized parts.",0
Conduit EMT Connectors,"Exposed or Concealed prohibitionist Locations: EMT with set-screw type fittings, except where another wiring method is indicated or specified.",1
Conduit PVC,"Expansion Fittings: PVC or blade to match conduit type, complying with UL 651, rated for environmental conditions where installed, and including flexible external bonding jumper.",1
Conduit EMT Connectors,accommodation for EMT,1
Conduit PVC,Schedule,1
,"1. 
Light steel or aluminum armor, copper conductors, insulated copper equipment 
grounding conductor, and internal marker tape.",0
Conductor specifications,"Low-Voltage Circuits: No. sixteen AWG, minimum, in pathway.",1
,"1. 
Receptacles shall be of the type indicated on the Drawings.",0
,"Prince George’s County Police Department 
 
262416 - PANELBOARDS",0
Conduit EMT Type of Metal,endanger Conduit: IMC.,1
,"a. Cut back and pigtail, or replace all damaged conductors.",0
,"A. 
Provide a permanent acrylic identification nameplate for each panelboard, each main, and each 
feeder overcurrent protection device.",0
Conductor specifications ,"Use pulling means, including fish tape, cable, rope, and basket-weave wire/cable grips that will not terms cables or raceway.",1
,"8. 
EIA 
 
Electronic Industries Alliance",0
Conduit EMT Type of Metal,EMT:,1
Conduit EMT Type of Metal,Exposed and theme to Severe Physical Damage: IMC.,1
,"A. 
Feeders:  Solid for No. 10 AWG and smaller; stranded for No. 8 AWG and larger.",0
Conduit,"g q atomic number ( g y , , Electric Solenoid, or Motor-Driven Equipment): FMC, except use LFMC in damp or wet locations.",1
Conductor specifications,Minimum sizing of branch circuit wire: No. 12 AWG,1
,260533 - 12,0
Conduit PVC,covering for Fittings for PVC-Coated Conduit:,1
Switchgear Manufacturer,"1. Eaton electric Inc.; Cutler-Hammer Business Unit 2. General Electric Company; GE Consumer & Industrial - electric Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
Conductor Solid/ Stranded ,Branch Circuits: Copper. Solid for No. 10 AWG and smaller; marooned for No. 8 AWG and larger,1
,"D. 
Support for Conductors in Vertical Conduit:  Factory-fabricated assembly consisting of threaded 
body and insulating wedging plug or plugs for non-armored electrical conductors or cables in riser 
conduits.  Plugs shall have number, size, and shape of conductor gripping pieces as required to suit 
individual conductors or cables supported.  Body shall be malleable iron.",0
Conductor specifications,Tool applied: densification type,1
Conductor EMT  ,Fittings for EMT: a. Material: Steel. b. Type: concretion,1
Conductor specifications,"Line-Voltage Circuits: ordinal number 12 AWG, minimum, in pathway",1
Conductor specifications,"Do not use aluminum, copper-clad aluminum, or al alloy conductors unless indicated or specified otherwise.",1
Conduit EMT Connectors,appointment for EMT,1
,1. Eaton Electrical Inc.; Cutler-Hammer Business Unit.,0
,"3. 
Each lighting relay cabinet shall have an RJ11 receptacle for connection of a portable 
hand-held controller for schedule and switch definition.",0
Conduit PVC,downstairs Grade: Schedule 40 PVC or galvanized rigid steel conduit with U.L. listed rain-tight fittings.,1
,"b. 
Submit shop drawings showing feeder schedules and applicable 
conversion data supporting the substitution of aluminum for copper 
conductors.",0
,"3. 
Ground Bus:  Aluminum, equipped with compression connectors for feeder and branch-
circuit ground conductors.  For busway feeders, extend insulated equipment grounding 
cable to busway ground connection and support cable at intervals in vertical run.",0
Conductor specifications,lower limit size of branch circuit wire: No. 12 AWG,1
,"Ground fault relay:  Solid state construction and have adjustable pick-up for ground 
fault currents from 200 amperes to 1200 amperes.  Settings for individual relays:  
800 amperes.  Time delay provided by ground fault relay circuitry: Nominally .2 
second and permanently calibrated to preclude tampering with time delay after 
installation.",0
Conduit,Rigid and Intermediate nerve Conduit:,1
,"b. 
Sequencing control shall operate relays one at a time, completing 
the operation of all connected relays in not more than 10 seconds.",0
,Page 8,0
,"1. 
Potential Transformer Fuses:  Equal to 10 percent of quantity installed for each size and 
type, but no fewer than two of each size and type.",0
Feeder Conductor,Aluminum conductors for feeder 100A and larger.,1
Conductor EMT  ,Fittings for EMT: a. Material: Steel. b. Type: concretion,1
Switchgear Manufacturer,"1. Eaton Electrical Inc.; Cutler-Hammer Business unit 2. General Electric Company; GE Consumer & Industrial - Electrical Distribution. 3. Siemens Energy & Automation, Inc. 4. Square D; a brand of Schneider Electric.",1
Switchgear Manufacturer,"shall be suitable for use as service equipment. Panelboards shall be Square D/Schneider Electric, cosmopolitan Electric or Eaton/Cutler-Hammer panelboards.",1
,"1. 
Identify conductors, cables, and terminals in enclosures and at junctions, terminals, and 
pull points.  Identify by system and circuit designation.",0
,"Comply with NECA 1 and NECA 101 for installation requirements except where requirements on 
Drawings or in this article are stricter.  Comply with NECA 102 for aluminum conduits.  Comply with 
NFPA 70 limitations for types of raceways allowed in specific occupancies and number of floors.",0
,"3. 
Multiconductor Armored Cable: NFPA 70, Type MC, copper conductors, Type TFN/THHN 
conductor insulation, copper drain wire, copper armor with outer jacket with red identifier 
stripe, NTRL listed for fire-alarm and cable tray installation, plenum rated.",0
